epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.24225445091724396,"""[0.19677995, 0.07164179, 0.31064764, 0.30232558, 0.05, 0.111269616]""",4.149384021759033,0.2548076808452606,"""[0.0, 0.0, 0.40613025, 0.0, 0.0, 0.0]""",1.6834852695465088
1,0.23434409499168396,"""[0.17716895, 0.0, 0.30713546, 0.28068358, 0.0, 0.12637362]""",1.6801563501358032,0.2548076808452606,"""[0.0, 0.0, 0.40613025, 0.0, 0.0, 0.0]""",1.670654058456421
2,0.2251153588294983,"""[0.17693838, 0.101694904, 0.32000002, 0.25721785, 0.010526316, 0.05376344]""",2.209385633468628,0.2704326808452606,"""[0.0, 0.0, 0.42573318, 0.0, 0.0, 0.0]""",1.7732259035110474
3,0.2514832019805908,"""[0.035242293, 0.0, 0.3420837, 0.3245357, 0.0, 0.0077519384]""",1.8838804960250854,0.265625,"""[0.0, 0.0, 0.0, 0.41975307, 0.0, 0.0]""",1.7249032258987427
4,0.2514832019805908,"""[0.0, 0.0, 0.30682883, 0.35582826, 0.0, 0.0]""",1.7059720754623413,0.2572115361690521,"""[0.0, 0.0, 0.0, 0.4091778, 0.0, 0.0]""",1.6948422193527222
5,0.2547791600227356,"""[0.0, 0.0, 0.30446196, 0.35977653, 0.0, 0.0]""",1.676328420639038,0.27163460850715637,"""[0.0, 0.0, 0.0, 0.42722118, 0.0, 0.0]""",1.690173864364624
6,0.25972312688827515,"""[0.0, 0.0, 0.32478634, 0.35686877, 0.0, 0.0]""",1.6653589010238647,0.25120192766189575,"""[0.0, 0.0, 0.0, 0.401537, 0.0, 0.0]""",1.7017858028411865
7,0.25543835759162903,"""[0.0064620357, 0.0, 0.32039312, 0.3519685, 0.0, 0.0]""",1.6691813468933105,0.25961539149284363,"""[0.0, 0.0, 0.0, 0.41221374, 0.0, 0.0]""",1.6958413124084473
