epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.2673038840293884,"""[0.24401915, 0.06722689, 0.35068765, 0.3190709, 0.009569379, 0.08920863]""",1.7893173694610596,0.3569711446762085,"""[0.024242423, 0.0, 0.4599407, 0.4778157, 0.0, 0.0]""",1.6432543992996216
1,0.3559657335281372,"""[0.25416303, 0.0, 0.39826003, 0.42186573, 0.0, 0.41328412]""",1.597823977470398,0.44711539149284363,"""[0.25, 0.0, 0.48046878, 0.529274, 0.0, 0.5721785]""",1.5128306150436401
2,0.41232696175575256,"""[0.30418944, 0.03773585, 0.4337102, 0.45319563, 0.0, 0.5669437]""",1.4651963710784912,0.4603365361690521,"""[0.34817815, 0.0, 0.47835052, 0.55125284, 0.0, 0.5706371]""",1.4013981819152832
3,0.4686881899833679,"""[0.38185254, 0.04878049, 0.4587156, 0.54161495, 0.0, 0.63330126]""",1.3566477298736572,0.5396634340286255,"""[0.5430463, 0.0, 0.4862069, 0.6682353, 0.0, 0.7466666]""",1.203479290008545
4,0.5029664039611816,"""[0.43988818, 0.03940887, 0.4778851, 0.5987879, 0.0, 0.65314406]""",1.2515748739242554,0.567307710647583,"""[0.49372384, 0.0, 0.5421903, 0.6812749, 0.0, 0.7398374]""",1.102310299873352
5,0.5313118100166321,"""[0.47782806, 0.05050505, 0.5007587, 0.64392054, 0.0, 0.66734284]""",1.162330985069275,0.6165865659713745,"""[0.51666665, 0.0, 0.6113208, 0.72284645, 0.0, 0.7966805]""",1.0527037382125854
6,0.5675675868988037,"""[0.51647377, 0.057416268, 0.52561986, 0.6764706, 0.17886178, 0.72205126]""",1.0865190029144287,0.645432710647583,"""[0.5986395, 0.0, 0.62095237, 0.7463918, 0.23188406, 0.86607146]""",0.9358583092689514
7,0.6137112975120544,"""[0.54664177, 0.08490566, 0.59095925, 0.7020757, 0.39875388, 0.76162213]""",1.0110119581222534,0.6177884340286255,"""[0.5925926, 0.0, 0.57608694, 0.72517323, 0.30232558, 0.82790697]""",0.9422677159309387
8,0.6179960370063782,"""[0.5690909, 0.10526316, 0.5952519, 0.68900645, 0.38888887, 0.7834008]""",1.0061815977096558,0.6694711446762085,"""[0.5523013, 0.0, 0.6666666, 0.77981657, 0.49253732, 0.8582677]""",0.8889862895011902
9,0.6311799883842468,"""[0.55241567, 0.07272727, 0.598434, 0.72847676, 0.390411, 0.80594057]""",0.9242398738861084,0.6634615659713745,"""[0.5454545, 0.0, 0.6575342, 0.76759064, 0.4210526, 0.8636363]""",0.8541818261146545
10,0.6486486196517944,"""[0.5774908, 0.104347825, 0.63031, 0.7419919, 0.4347826, 0.79547787]""",0.8939105272293091,0.6586538553237915,"""[0.47933888, 0.0, 0.6486487, 0.78224105, 0.5048543, 0.8839286]""",0.8084771633148193
11,0.6654581427574158,"""[0.59849906, 0.17142858, 0.6723259, 0.7374632, 0.4075235, 0.80942625]""",0.8346022367477417,0.7007211446762085,"""[0.64468867, 0.057971016, 0.7058824, 0.7915789, 0.36363637, 0.8991597]""",0.734089195728302
12,0.6793012619018555,"""[0.6180492, 0.1953125, 0.6561588, 0.7627628, 0.48520708, 0.8368368]""",0.8139605522155762,0.713942289352417,"""[0.67383516, 0.18181819, 0.693032, 0.81067955, 0.5405405, 0.88188976]""",0.7510952353477478
13,0.6839156150817871,"""[0.63214284, 0.20491804, 0.67535543, 0.76363635, 0.45402303, 0.8224299]""",0.806269109249115,0.7115384340286255,"""[0.63432837, 0.19753087, 0.70260227, 0.80088496, 0.53333336, 0.9181818]""",0.7258436679840088
14,0.705669105052948,"""[0.6584939, 0.27234045, 0.69809073, 0.7690476, 0.47058827, 0.84824115]""",0.7737151980400085,0.7223557829856873,"""[0.62500006, 0.45714283, 0.68750006, 0.8251748, 0.6, 0.90082645]""",0.7149032354354858
15,0.706657886505127,"""[0.66550523, 0.33707866, 0.70538414, 0.772918, 0.48333335, 0.82801247]""",0.755894124507904,0.7415865659713745,"""[0.7478754, 0.23333333, 0.71201813, 0.80833334, 0.41379312, 0.89711934]""",0.6856944561004639
16,0.7317073345184326,"""[0.6921029, 0.4066667, 0.7292289, 0.7987915, 0.5185185, 0.84615386]""",0.7363750338554382,0.7211538553237915,"""[0.5952381, 0.49557522, 0.7214429, 0.8132993, 0.58108115, 0.88122606]""",0.7371998429298401
17,0.7340145111083984,"""[0.7051724, 0.40866876, 0.7293376, 0.7948874, 0.51810586, 0.8577154]""",0.7032779455184937,0.7524038553237915,"""[0.7160494, 0.3561644, 0.71827954, 0.8344086, 0.58064514, 0.89344263]""",0.6527867913246155
18,0.7373104691505432,"""[0.7011494, 0.43103448, 0.7255154, 0.80982363, 0.55936676, 0.86063075]""",0.7098268866539001,0.7728365659713745,"""[0.6842105, 0.6890757, 0.72888887, 0.8378378, 0.70229006, 0.90551186]""",0.6661151647567749
19,0.7597231268882751,"""[0.72869563, 0.51132685, 0.75092024, 0.8279703, 0.54545456, 0.86094075]""",0.6698574423789978,0.7740384340286255,"""[0.7447447, 0.5333333, 0.7414188, 0.8430913, 0.7114094, 0.8859649]""",0.6272949576377869
20,0.7570863366127014,"""[0.70659715, 0.4848485, 0.7487804, 0.8252974, 0.5613079, 0.8839104]""",0.673389196395874,0.7848557829856873,"""[0.7747748, 0.5970149, 0.73056996, 0.861167, 0.6736842, 0.8858447]""",0.6281547546386719
21,0.7801582217216492,"""[0.746167, 0.5492537, 0.78260875, 0.83542717, 0.6192894, 0.8701826]""",0.6271438002586365,0.7776442170143127,"""[0.7232704, 0.6071428, 0.71818185, 0.8727273, 0.6666666, 0.9166667]""",0.6478346586227417
22,0.793671727180481,"""[0.77348995, 0.55625004, 0.7793549, 0.848523, 0.6108374, 0.901883]""",0.5924103260040283,0.7896634340286255,"""[0.74404764, 0.7460317, 0.7541767, 0.8515284, 0.5647059, 0.90000004]""",0.6166006326675415
23,0.7864205837249756,"""[0.7636055, 0.61741424, 0.78940576, 0.8311195, 0.6010101, 0.87651825]""",0.6063863039016724,0.817307710647583,"""[0.7564102, 0.74285716, 0.78774613, 0.87471527, 0.68468463, 0.9416667]""",0.5744686722755432
24,0.815754771232605,"""[0.7973311, 0.6647727, 0.8125, 0.85961664, 0.6233062, 0.89648235]""",0.5599602460861206,0.8245192170143127,"""[0.78616345, 0.7441861, 0.79905444, 0.8781609, 0.72727275, 0.9251101]""",0.5772227644920349
25,0.8180619478225708,"""[0.8144417, 0.59347177, 0.81946224, 0.8616352, 0.6212121, 0.90524197]""",0.5674940347671509,0.8040865659713745,"""[0.76470584, 0.56, 0.7789934, 0.87350833, 0.70866144, 0.92549026]""",0.5792244672775269
26,0.8239947557449341,"""[0.81475407, 0.6666666, 0.8222366, 0.86895674, 0.6122449, 0.9066937]""",0.5374237895011902,0.8161057829856873,"""[0.78095245, 0.6153846, 0.78651685, 0.8883721, 0.72727275, 0.91566265]""",0.5368891358375549
27,0.8411338329315186,"""[0.8190955, 0.65486723, 0.8351369, 0.8906049, 0.69035536, 0.92125976]""",0.5175033807754517,0.8413461446762085,"""[0.81250006, 0.8000001, 0.79518074, 0.89201874, 0.7619047, 0.9294606]""",0.5384217500686646
28,0.8566249012947083,"""[0.8345679, 0.75880766, 0.83892614, 0.8979336, 0.72222227, 0.93306696]""",0.49377429485321045,0.8209134340286255,"""[0.7735849, 0.6666667, 0.7722343, 0.90043294, 0.6896552, 0.93333334]""",0.5695006251335144
29,0.8391562104225159,"""[0.81426203, 0.6820809, 0.83311605, 0.88819486, 0.70558375, 0.9078014]""",0.5267816185951233,0.848557710647583,"""[0.7986348, 0.7480916, 0.82407403, 0.90322584, 0.74137926, 0.95348835]""",0.5190593004226685
30,0.8714568018913269,"""[0.87305486, 0.7353761, 0.87475413, 0.8930173, 0.75555557, 0.92678034]""",0.4572424292564392,0.859375,"""[0.8401254, 0.7419355, 0.83668905, 0.90410966, 0.8035714, 0.9375]""",0.5031511783599854
31,0.8510217666625977,"""[0.8446602, 0.72423404, 0.8552887, 0.87757725, 0.69902915, 0.9214876]""",0.49716678261756897,0.8617788553237915,"""[0.8362573, 0.7804879, 0.79903156, 0.9168766, 0.8613139, 0.9523809]""",0.5075460076332092
32,0.8717864155769348,"""[0.8633792, 0.747191, 0.8647595, 0.9058296, 0.7538461, 0.9310345]""",0.4505347013473511,0.8581730723381042,"""[0.83146065, 0.7, 0.8188235, 0.9160998, 0.8727273, 0.9224138]""",0.5498307347297668
33,0.880355954170227,"""[0.8847771, 0.7632313, 0.8779221, 0.90920633, 0.7524752, 0.9270729]""",0.44378796219825745,0.8317307829856873,"""[0.8061539, 0.637931, 0.776699, 0.9075269, 0.73684216, 0.95689654]""",0.5727899670600891
34,0.8816743493080139,"""[0.8807786, 0.72328764, 0.8833552, 0.91172594, 0.77209306, 0.939759]""",0.4422953426837921,0.879807710647583,"""[0.86604357, 0.8030303, 0.8443396, 0.92039806, 0.877193, 0.92988926]""",0.4907401502132416
35,0.8978246450424194,"""[0.90057516, 0.7777778, 0.8950496, 0.9230769, 0.7738694, 0.954]""",0.41555318236351013,0.8966346383094788,"""[0.8965517, 0.8333333, 0.8796297, 0.9296482, 0.8363636, 0.93442625]""",0.48812368512153625
36,0.8836519718170166,"""[0.88870704, 0.7118645, 0.8793103, 0.9186786, 0.7518073, 0.94472355]""",0.43956103920936584,0.8449519276618958,"""[0.79020983, 0.73504275, 0.8104575, 0.8997555, 0.85714287, 0.923077]""",0.5609977841377258
37,0.8829927444458008,"""[0.88073397, 0.78904116, 0.87402606, 0.90943635, 0.7920792, 0.9296636]""",0.45574066042900085,0.8870192170143127,"""[0.8761904, 0.7894737, 0.8680852, 0.9238095, 0.8043478, 0.9486166]""",0.43552061915397644
38,0.8932102918624878,"""[0.8908795, 0.80526316, 0.8929987, 0.9158639, 0.78217816, 0.94010156]""",0.42197537422180176,0.890625,"""[0.8450705, 0.7966102, 0.87964994, 0.9345373, 0.8474576, 0.9508197]""",0.451567143201828
39,0.8994726538658142,"""[0.895, 0.8000001, 0.9039099, 0.9275, 0.78441554, 0.9369919]""",0.4060128927230835,0.8834134340286255,"""[0.83974355, 0.77966106, 0.8679245, 0.9313726, 0.8666667, 0.9519651]""",0.4942801594734192
40,0.9040870070457458,"""[0.8941755, 0.8203753, 0.90222526, 0.93107766, 0.7869674, 0.95390785]""",0.390519380569458,0.8882211446762085,"""[0.8653846, 0.78632486, 0.8632076, 0.92342347, 0.88461536, 0.94296575]""",0.45908021926879883
41,0.9034278392791748,"""[0.89288634, 0.7966102, 0.9076517, 0.92893404, 0.8258706, 0.9388165]""",0.39777785539627075,0.879807710647583,"""[0.852349, 0.80314964, 0.84474885, 0.9309577, 0.81553394, 0.94779116]""",0.4994063079357147
42,0.9040870070457458,"""[0.909836, 0.7619048, 0.9100391, 0.92954105, 0.7980769, 0.943662]""",0.3990098834037781,0.901442289352417,"""[0.863354, 0.8595041, 0.8557692, 0.9456265, 0.92561984, 0.9578544]""",0.4472605288028717
43,0.9087013602256775,"""[0.90067345, 0.815427, 0.9100391, 0.9343531, 0.8117359, 0.94925374]""",0.3863459527492523,0.8846153616905212,"""[0.87315637, 0.8125, 0.854321, 0.92825115, 0.7809524, 0.9543569]""",0.4432031214237213
44,0.9143045544624329,"""[0.91973245, 0.79784364, 0.912987, 0.94026977, 0.8375635, 0.9425743]""",0.3861347436904907,0.8786057829856873,"""[0.8825215, 0.6935484, 0.8606965, 0.92241377, 0.7961165, 0.954955]""",0.48573896288871765
45,0.9169413447380066,"""[0.91399664, 0.8033708, 0.9225764, 0.9432535, 0.8261965, 0.94632214]""",0.36737948656082153,0.8990384340286255,"""[0.8965518, 0.7833333, 0.882227, 0.92890996, 0.8461538, 0.9655172]""",0.4538108706474304
46,0.9166117310523987,"""[0.91245794, 0.796748, 0.91906005, 0.94177216, 0.8648648, 0.9435484]""",0.37176164984703064,0.9002403616905212,"""[0.90801185, 0.8125, 0.8712871, 0.9377778, 0.81415933, 0.95689654]""",0.4522355794906616
47,0.9185892939567566,"""[0.9033333, 0.86089236, 0.9207596, 0.940051, 0.835, 0.9556452]""",0.37122419476509094,0.8942307829856873,"""[0.8829432, 0.7716536, 0.8707483, 0.9461359, 0.8648648, 0.93436295]""",0.45467692613601685
48,0.924851655960083,"""[0.9271966, 0.8459529, 0.93210286, 0.93952894, 0.81499994, 0.9620759]""",0.353323757648468,0.9134615659713745,"""[0.9023569, 0.85950416, 0.89976686, 0.94063926, 0.864, 0.95275587]""",0.4176023602485657
49,0.9271588921546936,"""[0.93322337, 0.7978142, 0.93237036, 0.94790345, 0.82384825, 0.9638319]""",0.3562672734260559,0.9242788553237915,"""[0.91131496, 0.9051095, 0.90000004, 0.9451074, 0.8928571, 0.9718875]""",0.40252673625946045
